content,score,label,cluster,tsne_x,tsne_y,실제감성,군집명
못해먹어 봤어요 다시 만들어먹기긔찮아서 못안들어먹었어요,1,0,1,-1.990053,-0.20763038,부정,식품카테고리
머리가 뚝뚝 끊어지고 있어서 너무 속상했는데 정말 복구가 되네요. 신통방통,5,1,3,0.2127276,-0.105295196,긍정,일반감성형
재구매 다른 곳보다 저렴하게 구매했어요,4,1,0,-0.4113882,1.1641599,긍정,제품후기형
좋아요 마트서 산 숫컷이 너무 안먹어서 사 봤는데 젤리 때문이 아닌것 같네요..여기서 산 암컷은 잘먹어요,5,1,1,-1.8837178,-0.28009212,긍정,식품카테고리
너무 무거워요. 지방이라 배송비가 많이 나와요,1,0,3,-0.9514495,-0.30584306,부정,일반감성형
아이들 침대커버로 구매했는데 마감도 박음질도 꼼꼼해요,4,1,0,-0.6085583,0.6931119,긍정,제품후기형
생각했던것과 색감이 달라요ㅜㅜ,2,0,0,1.0748847,-0.7654217,부정,제품후기형
고구마가 생각보다 많이 작아서 실망했지만 고구마를 삶아 반으로 나누고 고구마 색을 보았을 때 한 번 더 실망했지만 먹어보고 나니... 맛만좋네요 ㅋㅋㅋ맛있어요,5,1,1,-1.2300096,0.1294565,긍정,식품카테고리
엔진소음 전혀 변화 없음 다시는 구매 안함,1,0,3,-1.1948698,0.8704258,부정,일반감성형
상판 찍힘1회로 교환 상판 휨으로 1회 교환했으나 또 휜 제품이 왔네요. 품질 관리에 조금더 신경쓰시면 좋겠슺미다.. 귀찮아서 씁니다.,2,0,0,-0.08602349,-0.46331534,부정,제품후기형
바닥이 폭신폭신하니 너무좋아요,5,1,3,1.694671,2.120286,긍정,일반감성형
별루여.. 먹기도 불편하구 비싸구,1,0,3,-0.8865529,0.08310282,부정,일반감성형
좋아요 강아지가 너무 잘 먹습니다! 가격도 저렴하고 정말 잘 샀네요ㅋㅋ 다들 사세요 근데 실물이 조금 작습니다,5,1,3,0.2993434,0.42313024,긍정,일반감성형
날이 더운데 밖에 오래 있었는데도 꽝꽝 얼어 있었어요 캠핑가서 먹었는데 진짜 너무 맛있어서 감동했습니다 ㅠㅠ 재구매 의사 100000%입니다,5,1,1,-2.0986762,1.5521781,긍정,식품카테고리
산책후 발안씻기고 이것만 뜯어도되서 신세계네여 ㅋㅋ,5,1,3,0.4892869,-0.14729403,긍정,일반감성형
배송이엄청빨라서좋네요 다음에파실땐 펴보고 다리불량인지확인하시구팔아주세요,2,0,0,-0.35529032,0.22351779,부정,제품후기형
너무늦게도착해서필요할때사용못했습니다,1,0,0,0.594513,0.48194358,부정,제품후기형
애들꺼 영양제 찾다고 괜찮은것 같아 구매했어요 맛이 우유맛 그닥 좋아하지는 않아요 ㅋ,4,1,0,-0.26938272,0.8828344,긍정,제품후기형
됏다가안됏다가 그러네요 걍 돈더주고 비싼거사는게나을거같아요,2,0,3,-0.11333265,-0.0037932754,부정,일반감성형
모서리에 찍혀서 왔어요.,1,0,3,-0.74448913,-0.8019362,부정,일반감성형
바로 전송되어 좋아요,5,1,3,-0.2675278,0.41157225,긍정,일반감성형
하루만에 거울 소리가 안나서 교환요청했더니 작동된다고 교환안된다하다가 다시 확인해달라니 다음날은 안되는게 맞다고 그제야 교환된다하시고... 제조년도도 2018년도로 오래됐고..... 아기가 화장대를 너무 좋아해서 사준거였는데 후회했어요,1,0,0,0.17348868,-0.46507913,부정,제품후기형
털? 실? 이 묻어요 그냥 그냥 씁니다,2,0,3,-0.012126518,-0.61082983,부정,일반감성형
통이커서 씻기도편해서 물양이 많이 필요하시는분들꺼 추천드립니다!,4,1,3,0.8926508,0.95432746,긍정,일반감성형
실색이 예뻐요^^~!! 자주 구매할께요,5,1,0,-0.8557914,1.7157853,긍정,제품후기형
재구매 효과는잘모르겠고양도너무적어요,2,0,3,2.9391353,-0.24962719,부정,일반감성형
짱 올리브영에서 한개 가격으로 3개 득템 배송도 빠르고 잘쓰겠습니다. 1등한 이유가 있겠죠? ㅋㅋ,5,1,2,-0.11266386,3.7175155,긍정,배송중심
개인에 따라 다르겠지만 저는 효과가 없네요 ㅠ,2,0,3,3.5001826,-0.6999909,부정,일반감성형
조립하기. 너무힘들고 조립하다가 조립끼어넣는부분 부러짐 돈만아까움,2,0,0,0.5346194,-1.225421,부정,제품후기형
괜찮아용~편하게 쓰고 다니고 있어용,5,1,3,0.7856373,0.97849774,긍정,일반감성형
싸게 잘 샀어요 그리 많이 달지않아서 좋아요,2,0,3,2.2837,2.3698456,부정,일반감성형
재구매 자주 시킬게요 좋아여,5,1,3,-2.3908648,0.77608716,긍정,일반감성형
배송이 너무 오래걸렸던것 빼고는 좋아요..,4,1,3,-0.77808166,-2.1895223,긍정,일반감성형
너무 작고 약해요! 딱 그가격,1,0,3,1.5283233,-2.0671594,부정,일반감성형
솔직히 맛은좀... 아쉬운편 이예요,2,0,3,1.1615524,-2.3962944,부정,일반감성형
배송도 빠르고 상품도 만족합니다 추천합니다,5,1,2,-0.39048183,3.3603656,긍정,배송중심
별로인거 같아요 애기가 쓸꺼 산건대 크기도 생각보다 큰거 같고 돈 아깝단 생각드내요 일단 산거라서 써보긴 해야겠내요.,2,0,3,2.1752381,-0.21669646,부정,일반감성형
맛난김치 시지않게 잘받았습니다,5,1,3,-0.5575994,0.11773554,긍정,일반감성형
가성비 최고입니다. 감사하빈다,5,1,3,-1.3472463,2.0499759,긍정,일반감성형
재구매 잘 마시고 있어요 좋아 좋아,4,1,3,1.4161946,2.636734,긍정,일반감성형
크기에 비해 비싼편이네요.,1,0,3,0.4934268,0.26556206,부정,일반감성형
늘 쓰던 제품이에요. 대용량으로 구매해봤습니다.,5,1,3,-0.3118448,1.3844947,긍정,일반감성형
인견이라 시원하고 가벼워서 조아요,5,1,3,0.7775629,3.2389295,긍정,일반감성형
색이빠져서받고실망했네요 다그런건아닌데 러짜피받은거잘써볼랍니다,2,0,3,-0.50163347,0.0057722093,부정,일반감성형
배송이 진짜 너무 너무 너무 느려요,1,0,3,-1.4763178,-2.1178794,부정,일반감성형
향도 너무 좋고 지속력이 오래가유,5,1,3,1.6061478,2.3618727,긍정,일반감성형
개별포장 좋아요 개별포장이라 위생적으로 갖고 다니기 넘 좋아요. 단지 친환경소재인지 환경호르몬의 유무 여부가 안나와있어 걱정되기는 합니다.,4,1,3,-0.39723787,-2.144155,긍정,일반감성형
가격이 좋고 괜찮습니다,4,1,3,1.3187493,2.9282691,긍정,일반감성형
본드자국 다 붙어있고 저가격도 아까울정도입니다.,2,0,3,0.20249587,-1.7325629,부정,일반감성형
인식 아주 잘 됩니다,5,1,3,0.55876017,0.8233921,긍정,일반감성형
재구매 신랑이 만족하네요~~~,5,1,3,-1.3163621,1.611096,긍정,일반감성형
남친 사줬는데 살에 직접 뿌리면 아프다고 하네요. 냄새도 너무 안좋아요. 효과도 거의 없구요.,1,0,3,3.0170498,-0.62256724,부정,일반감성형
긴 생머리에는 괜찬은지 몰라도 층이 잇다거나 펌엔 맞 지 않은듯..,2,0,3,2.1988182,-1.2874024,부정,일반감성형
사진보다 흐리고 촌스럽습니다 교환했습니다,2,0,0,-0.18266898,-0.5015747,부정,제품후기형
수 많은 배송 했는데 한진택배가 최악이네요 배송 사정 있어 요청 남겨놧는데 오전 퇴근 시간 어쩌규 하시고 넘에집 보관에 박스는 어떻게 배송 됫는지 비오기 전 배송인데 다 쩔어 있고 심하네요...,2,0,0,-0.6445467,-0.032128584,부정,제품후기형
아기가 기어다녀서 구매했는데 제가 잘못 착용시킨건지 자꾸 말려서 사용안하게 되네요ㅠㅜ,2,0,0,0.5098842,0.20180222,부정,제품후기형
재구매 항상주문하는데 이번에.바뀐용기가.별로네요 ㅜ 여행때 가져갔는데 기온차 때문인지.얼음도같이있었는데.뚜껑이계속열리고 저번.유리용기가좋았어요 공장이전하시고 대량생산해서 그런지 깍두기 크기도.매번다르고 이래저래 실망했어요,2,0,0,-0.70755035,0.37817672,부정,제품후기형
난 분명 중 시켰는데 소로 왔네요.,2,0,3,-1.130715,-0.7510451,부정,일반감성형
좋아요..재구마함,5,1,3,-2.052473,1.7114407,긍정,일반감성형
손목에 힘주면 그냥 빠져요 ㅋㅋㅋ 못쓰겠어요^^ 고무제질 사야겠어요 ㅎㅎ,1,0,3,0.32663265,-0.35667303,부정,일반감성형
다좋아요 두껍고 ^^ 다만 화학냄새가나서 밖에두고 냄새빼고 쓰려고요^^;;,5,1,3,0.01872815,-1.3342172,긍정,일반감성형
수전에 설치 하였는데 향도 은은하고 물도 깨끗해진거같아서 너무조아요~,5,1,0,1.492824,0.8262196,긍정,제품후기형
제품 설명서도 안들은 물품이 어디 있 습니까,2,0,3,2.025707,-2.5366971,부정,일반감성형
아직써보진않았지만배송빠르고잘왔습니다^-^,5,1,2,0.49977523,3.631757,긍정,배송중심
빈티지 생각보다 많이 좋아요,5,1,3,2.3555431,2.4525678,긍정,일반감성형
ㅎㅎ안늘어놔요~혹시나해서 연장 후크 구입했네요,4,1,0,0.3564591,0.56372154,긍정,제품후기형
비닐두장에 감싸왔는데 깻잎 절반 터져서 박스안이 난리났어요,2,0,3,-1.5868833,-1.5305018,부정,일반감성형
발등부분이 뻑뻑하고 앞볼이 좁아 발이 아프고 접착부분이 잘떨어짐,2,0,3,0.92936325,-0.8715169,부정,일반감성형
사용하기편하고 예뻐요,5,1,0,1.1715529,0.7326903,긍정,제품후기형
최악이네요 안삽니다,1,0,3,0.33181083,0.765185,부정,일반감성형
