,score
120361,5
44723,5
180541,2
195331,5
57487,2
131472,2
144067,4
76639,2
177583,2
158697,5
143966,5
68260,1
65594,2
66692,2
60275,2
93164,1
102375,5
167831,1
36735,1
59552,1
23407,5
121931,4
127808,1
111426,5
16088,5
195308,1
58288,2
196616,5
20649,1
16771,5
109076,4
89777,5
158417,2
12960,5
180594,5
80149,5
99097,1
28889,2
32944,5
107649,5
155029,4
166447,5
103373,1
45880,2
145167,4
151016,5
79598,1
161699,5
77061,5
10367,1
79253,5
148153,2
99799,5
193459,4
139002,5
2877,5
19140,1
193258,2
186299,4
48950,5
13957,5
156437,2
127153,2
49664,5
60532,5
71511,5
10060,4
135783,1
197288,5
93403,5
4472,5
92894,5
137196,1
197818,2
150228,5
61750,4
57037,2
167112,5
111108,2
108752,4
49444,2
187350,5
73397,2
10397,5
178976,5
26757,2
178089,5
134994,2
98563,5
131133,5
12907,1
8726,2
134955,1
67804,2
190354,5
63303,5
168703,5
122201,1
117139,1
133462,5
98451,4
157294,2
87298,2
126514,5
43968,2
196887,5
87492,2
29890,1
38090,4
83269,2
28656,5
93339,1
83426,1
114814,1
174816,2
160274,2
32423,1
107595,2
146576,5
174036,5
41486,5
31173,5
48570,2
79302,1
14172,4
56569,2
59067,1
85801,5
7970,5
119357,1
187937,5
141295,2
196505,1
59827,5
178719,2
103721,2
184379,4
34981,5
176946,2
22844,2
55956,4
66088,5
130769,5
156602,1
180152,1
4530,2
88985,1
137024,5
117662,4
96558,5
195041,5
170015,5
47778,2
184757,5
57570,2
91900,2
18983,1
145320,5
33558,1
153959,1
188671,2
84722,1
96257,2
171464,2
147212,1
178977,5
112294,5
84135,2
157288,4
65006,5
71292,2
156643,5
191122,5
10496,4
162092,5
95007,2
175963,5
123966,5
32849,2
49518,2
158454,5
99323,5
196376,1
135009,5
78417,1
107061,2
111857,4
172056,2
188231,2
68059,5
147901,2
166706,2
54342,5
133429,5
163577,5
136560,2
52336,2
104527,5
41882,2
138154,4
152105,2
20581,5
36789,2
164582,2
21443,5
187762,5
94413,1
25671,5
81633,5
118219,5
21704,1
149124,2
151895,2
162123,5
2154,2
138657,1
141335,2
101713,5
100746,2
67167,1
736,2
174596,2
50373,2
5658,5
179260,1
67604,1
10821,1
55630,1
116076,1
141765,5
63719,2
146210,2
78736,2
198728,2
166581,1
74434,5
51276,4
73273,1
72603,5
95027,5
115207,2
94005,5
62082,5
114488,5
35288,5
70238,2
187830,5
76737,1
94064,5
144503,1
45036,5
117924,2
54401,2
131799,1
56671,5
29906,5
111401,5
698,1
8113,4
100561,5
149459,2
58477,2
76199,5
190629,5
87349,5
178579,2
74014,5
150231,5
63310,2
174199,2
9021,5
181025,1
16794,5
92622,2
44460,4
182656,1
25971,1
111107,1
147985,5
154306,1
10338,5
85131,1
90128,5
93139,5
117396,2
181803,5
44823,1
156936,4
18395,2
110250,5
192460,2
107570,5
8298,2
119504,2
113539,5
165304,2
93804,1
170979,1
49996,5
120816,5
175421,1
18109,5
78561,2
160346,2
161945,5
103890,2
10905,5
31180,1
160509,5
23368,2
13469,4
30412,1
10801,4
56717,2
48555,1
160690,2
110003,4
179378,1
139321,1
64148,1
100779,5
173043,1
144273,1
50105,1
126939,2
40799,5
54284,4
45745,5
85482,5
20892,5
57609,1
115105,2
159421,2
108522,5
149075,2
115530,5
75467,5
94941,2
142920,2
179113,1
47549,5
149032,5
27664,2
76408,2
129554,2
171199,5
55990,2
172632,2
146702,2
112459,5
183770,4
26727,1
131077,1
167017,2
167947,4
76820,5
20890,5
42622,5
107680,1
140261,5
144325,5
182539,5
180091,5
89046,5
11012,1
136181,4
8896,5
55465,5
84621,1
124312,5
164071,1
22095,2
183160,2
64041,5
90939,1
42888,1
134951,2
122151,5
5530,1
57767,1
109813,2
30140,5
32535,1
74312,5
64503,1
25080,2
150665,5
142437,5
134383,5
182944,5
74359,2
179963,4
13869,5
84782,5
77129,2
101019,5
120946,5
41304,1
189910,1
12075,1
191528,1
20059,2
144258,5
136421,5
21267,1
96129,2
193268,2
17741,4
39546,2
102423,2
4035,2
121139,5
145583,5
94812,5
29177,2
118775,5
193159,5
112201,1
158882,2
177830,2
87591,5
92995,2
11145,2
18302,2
11138,2
208,1
31075,2
67569,2
197145,5
137112,2
58283,2
126065,2
69848,5
20831,5
164174,4
81333,1
187017,4
127214,5
175399,2
180338,4
3166,5
51387,4
195249,2
114409,5
124389,1
96316,5
118611,2
192687,2
7319,1
49448,2
17535,2
77920,1
23004,2
159644,5
120053,2
156878,4
108195,2
16299,5
188080,2
54520,4
116915,1
54444,1
102102,1
120607,2
60181,5
121091,2
100959,2
82952,1
140981,5
7853,4
130511,1
106885,5
64572,5
31169,5
133295,1
36164,1
26071,2
108286,5
83424,2
