score,content,label,content_len,content_clean,content_token,cluster,tsne_x,tsne_y
1,못해먹어 봤어요 다시 만들어먹기긔찮아서 못안들어먹었어요,0,30,못해먹어 봤어요 다시 만들어먹기긔찮아서 못안들어먹었어요,하다 먹다 보다 다시 만들다 먹기 긔 찮아다 들다 먹다,1,-1.990053,-0.20763038
5,머리가 뚝뚝 끊어지고 있어서 너무 속상했는데 정말 복구가 되네요. 신통방통,1,41,머리가 뚝뚝 끊어지고 있어서 너무 속상했는데 정말 복구가 되네요 신통방통,머리 뚝뚝 끊어지다 있다 속상하다 정말 복구 되다 신통 방통,3,0.2127276,-0.105295196
4,재구매 다른 곳보다 저렴하게 구매했어요,1,21,재구매 다른 곳보다 저렴하게 구매했어요,재다 다른 곳 저렴하다 구매 하다,0,-0.4113882,1.1641599
5,좋아요 마트서 산 숫컷이 너무 안먹어서 사 봤는데 젤리 때문이 아닌것 같네요..여기서 산 암컷은 잘먹어요,1,58,좋아요 마트서 산 숫컷이 너무 안먹어서 사 봤는데 젤리 때문이 아닌것 같네요 여기서 산 암컷은 잘먹어요,좋다 마트 산 숫컷 먹다 사 보다 젤리 때문 아니다 같다 여기 산 암컷 먹다,1,-1.8837178,-0.28009212
1,너무 무거워요. 지방이라 배송비가 많이 나와요,0,25,너무 무거워요 지방이라 배송비가 많이 나와요,무거워 지방 배송비 나오다,3,-0.9514495,-0.30584306
4,아이들 침대커버로 구매했는데 마감도 박음질도 꼼꼼해요,1,29,아이들 침대커버로 구매했는데 마감도 박음질도 꼼꼼해요,아이 침대 커버 구매 하다 마감 박음질 꼼꼼하다,0,-0.6085583,0.6931119
2,생각했던것과 색감이 달라요ㅜㅜ,0,16,생각했던것과 색감이 달라요,생각 하다 색감 달라,0,1.0748847,-0.7654217
5,고구마가 생각보다 많이 작아서 실망했지만 고구마를 삶아 반으로 나누고 고구마 색을 보았을 때 한 번 더 실망했지만 먹어보고 나니... 맛만좋네요 ㅋㅋㅋ맛있어요,1,88,고구마가 생각보다 많이 작아서 실망했지만 고구마를 삶아 반으로 나누고 고구마 색을 보았을 때 한 번 더 실망했지만 먹어보고 나니 맛만좋네요 맛있어요,고구마 생각 작다 실망하다 고구마 삶다 반 나누다 고구마 색 보다 때 하다 번 더 실망하다 먹다 보고 나니 맛 좋다 맛있다,1,-1.2300096,0.1294565
1,엔진소음 전혀 변화 없음 다시는 구매 안함,0,23,엔진소음 전혀 변화 없음 다시는 구매 안함,엔진 소음 전혀 변화 없다 다시다 구매 안함,3,-1.1948698,0.8704258
2,상판 찍힘1회로 교환 상판 휨으로 1회 교환했으나 또 휜 제품이 왔네요. 품질 관리에 조금더 신경쓰시면 좋겠슺미다.. 귀찮아서 씁니다.,0,75,상판 찍힘1회로 교환 상판 휨으로 1회 교환했으나 또 휜 제품이 왔네요 품질 관리에 조금더 신경쓰시면 좋겠슺미다 귀찮아서 씁니다,상판 찍히다 교환 상판 휨 교환 하다 또 휜 제품 오다 품질 관리 조금 더 쓰시 좋겠슺미 귀찮다 쓰다,0,-0.08602349,-0.46331534
5,바닥이 폭신폭신하니 너무좋아요,1,16,바닥이 폭신폭신하니 너무좋아요,바닥 폭 폭 하니 좋다,3,1.694671,2.120286
1,별루여.. 먹기도 불편하구 비싸구,0,18,별루여 먹기도 불편하구 비싸구,별루 먹기 불편하다 비싸다,3,-0.8865529,0.08310282
5,좋아요 강아지가 너무 잘 먹습니다! 가격도 저렴하고 정말 잘 샀네요ㅋㅋ 다들 사세요 근데 실물이 조금 작습니다,1,61,좋아요 강아지가 너무 잘 먹습니다 가격도 저렴하고 정말 잘 샀네요 다들 사세요 근데 실물이 조금 작습니다,좋다 강아지 자다 먹다 가격 저렴하다 정말 자다 사다 들다 사다 실물 조금 작다,3,0.2993434,0.42313024
5,날이 더운데 밖에 오래 있었는데도 꽝꽝 얼어 있었어요 캠핑가서 먹었는데 진짜 너무 맛있어서 감동했습니다 ㅠㅠ 재구매 의사 100000%입니다,1,78,날이 더운데 밖에 오래 있었는데도 꽝꽝 얼어 있었어요 캠핑가서 먹었는데 진짜 너무 맛있어서 감동했습니다 재구매 의사 100000 입니다,날 덥다 있다 얼다 있다 캠핑 가다 먹다 진짜 맛있다 감동 하다 재다 의사 이다,1,-2.0986762,1.5521781
5,산책후 발안씻기고 이것만 뜯어도되서 신세계네여 ㅋㅋ,1,28,산책후 발안씻기고 이것만 뜯어도되서 신세계네여,산책 후 발안 씻다 것 뜯다 되다 신세계,3,0.4892869,-0.14729403
2,배송이엄청빨라서좋네요 다음에파실땐 펴보고 다리불량인지확인하시구팔아주세요,0,39,배송이엄청빨라서좋네요 다음에파실땐 펴보고 다리불량인지확인하시구팔아주세요,배송 빨 좋다 다음 파다 땐 펴다 보고 다리 불량 확인 하다 구팔 줄다,0,-0.35529032,0.22351779
1,너무늦게도착해서필요할때사용못했습니다,0,19,너무늦게도착해서필요할때사용못했습니다,늦다 착하다 필요하다 때 사용 못 하다,0,0.594513,0.48194358
4,애들꺼 영양제 찾다고 괜찮은것 같아 구매했어요 맛이 우유맛 그닥 좋아하지는 않아요 ㅋ,1,47,애들꺼 영양제 찾다고 괜찮은것 같아 구매했어요 맛이 우유맛 그닥 좋아하지는 않아요,애 들다 양제 찾다 괜찮다 것 같다 구매 하다 맛 우유 맛 그닥 좋아하다 않다,0,-0.26938272,0.8828344
2,됏다가안됏다가 그러네요 걍 돈더주고 비싼거사는게나을거같아요,0,32,됏다가안됏다가 그러네요 걍 돈더주고 비싼거사는게나을거같아요,돼다 돼다 그렇다 돈 덥다 비싸다 살다 거 같다,3,-0.11333265,-0.0037932754
1,모서리에 찍혀서 왔어요.,0,13,모서리에 찍혀서 왔어요,모서리 찍히다 오다,3,-0.74448913,-0.8019362
5,바로 전송되어 좋아요,1,11,바로 전송되어 좋아요,바로 전송 되어다 좋다,3,-0.2675278,0.41157225
1,하루만에 거울 소리가 안나서 교환요청했더니 작동된다고 교환안된다하다가 다시 확인해달라니 다음날은 안되는게 맞다고 그제야 교환된다하시고... 제조년도도 2018년도로 오래됐고..... 아기가 화장대를 너무 좋아해서 사준거였는데 후회했어요,0,131,하루만에 거울 소리가 안나서 교환요청했더니 작동된다고 교환안된다하다가 다시 확인해달라니 다음날은 안되는게 맞다고 그제야 교환된다하시고 제조년도도 2018년도로 오래됐고 아기가 화장대를 너무 좋아해서 사준거였는데 후회했어요,하루 거울 소리 안나 교환 요청 하다 작동 되다 교환 안되다 다시 확인 해달라다 다음 날 안되다 맞다 교환 되다 년도 돼다 아기 화장 좋아하다 사다 후회 하다,0,0.17348868,-0.46507913
2,털? 실? 이 묻어요 그냥 그냥 씁니다,0,21,털 실 이 묻어요 그냥 그냥 씁니다,털 실 이 묻다 그냥 그냥 쓰다,3,-0.012126518,-0.61082983
4,통이커서 씻기도편해서 물양이 많이 필요하시는분들꺼 추천드립니다!,1,35,통이커서 씻기도편해서 물양이 많이 필요하시는분들꺼 추천드립니다,통 커서 씻다 편하다 물 필요하다 분 들다 추천 드리다,3,0.8926508,0.95432746
5,실색이 예뻐요^^~!! 자주 구매할께요,1,21,실색이 예뻐요 자주 구매할께요,실색 예쁘다 자주 구매 하다,0,-0.8557914,1.7157853
2,재구매 효과는잘모르겠고양도너무적어요,0,19,재구매 효과는잘모르겠고양도너무적어요,재다 효과 자다 모르다 양도 적다,3,2.9391353,-0.24962719
5,짱 올리브영에서 한개 가격으로 3개 득템 배송도 빠르고 잘쓰겠습니다. 1등한 이유가 있겠죠? ㅋㅋ,1,54,짱 올리브영에서 한개 가격으로 3개 득템 배송도 빠르고 잘쓰겠습니다 1등한 이유가 있겠죠,짱 올리브영 가격 개 득템 배송 빠르다 잘쓰다 이유 있다,2,-0.11266386,3.7175155
2,개인에 따라 다르겠지만 저는 효과가 없네요 ㅠ,0,25,개인에 따라 다르겠지만 저는 효과가 없네요,개인 따르다 다르다 저 효과 없다,3,3.5001826,-0.6999909
2,조립하기. 너무힘들고 조립하다가 조립끼어넣는부분 부러짐 돈만아까움,0,36,조립하기 너무힘들고 조립하다가 조립끼어넣는부분 부러짐 돈만아까움,조립 하다 힘들다 조립 하다 조립 끼다 넣다 부분 부러지다 돈 아깝다 움,0,0.5346194,-1.225421
5,괜찮아용~편하게 쓰고 다니고 있어용,1,19,괜찮아용 편하게 쓰고 다니고 있어용,괜찮다 편하다 쓰다 다니다 있다,3,0.7856373,0.97849774
2,싸게 잘 샀어요 그리 많이 달지않아서 좋아요,0,24,싸게 잘 샀어요 그리 많이 달지않아서 좋아요,싸다 자다 사다 그리다 달 않다 좋다,3,2.2837,2.3698456
5,재구매 자주 시킬게요 좋아여,1,15,재구매 자주 시킬게요 좋아여,재다 자주 시키다 좋다,3,-2.3908648,0.77608716
4,배송이 너무 오래걸렸던것 빼고는 좋아요..,1,23,배송이 너무 오래걸렸던것 빼고는 좋아요,배송 걸리다 빼다 좋다,3,-0.77808166,-2.1895223
1,너무 작고 약해요! 딱 그가격,0,16,너무 작고 약해요 딱 그가격,작고 약하다 가격,3,1.5283233,-2.0671594
2,솔직히 맛은좀... 아쉬운편 이예요,0,19,솔직히 맛은좀 아쉬운편 이예요,솔직하다 맛 좀 아쉽다 편 이예,3,1.1615524,-2.3962944
5,배송도 빠르고 상품도 만족합니다 추천합니다,1,23,배송도 빠르고 상품도 만족합니다 추천합니다,배송 빠르다 상품 만족하다 추천 하다,2,-0.39048183,3.3603656
2,별로인거 같아요 애기가 쓸꺼 산건대 크기도 생각보다 큰거 같고 돈 아깝단 생각드내요 일단 산거라서 써보긴 해야겠내요.,0,65,별로인거 같아요 애기가 쓸꺼 산건대 크기도 생각보다 큰거 같고 돈 아깝단 생각드내요 일단 산거라서 써보긴 해야겠내요,별로 같다 애기 쓸다 사다 크기 생각 크다 같다 돈 아깝다 생각드내 일단 사다 써다 보다 하다,3,2.1752381,-0.21669646
5,맛난김치 시지않게 잘받았습니다,1,16,맛난김치 시지않게 잘받았습니다,맛 김치 시지 않다 받다,3,-0.5575994,0.11773554
5,가성비 최고입니다. 감사하빈다,1,16,가성비 최고입니다 감사하빈다,가성 비 최고 이다 감사 하비다,3,-1.3472463,2.0499759
4,재구매 잘 마시고 있어요 좋아 좋아,1,19,재구매 잘 마시고 있어요 좋아 좋아,재다 자다 말다 있다 좋다 좋다,3,1.4161946,2.636734
1,크기에 비해 비싼편이네요.,0,14,크기에 비해 비싼편이네요,크기 비다 비싸다 편이,3,0.4934268,0.26556206
5,늘 쓰던 제품이에요. 대용량으로 구매해봤습니다.,1,26,늘 쓰던 제품이에요 대용량으로 구매해봤습니다,늘 쓰다 제품 용량 구매 해봤다,3,-0.3118448,1.3844947
5,인견이라 시원하고 가벼워서 조아요,1,18,인견이라 시원하고 가벼워서 조아요,인견 시원하다 가볍다 좋다,3,0.7775629,3.2389295
2,색이빠져서받고실망했네요 다그런건아닌데 러짜피받은거잘써볼랍니다,0,33,색이빠져서받고실망했네요 다그런건아닌데 러짜피받은거잘써볼랍니다,색 이쁘다 받다 실망하다 것 아니다 러 짜다 피 받다 잘쓰다 보다,3,-0.50163347,0.0057722093
1,배송이 진짜 너무 너무 너무 느려요,0,19,배송이 진짜 너무 너무 너무 느려요,배송 진짜 느리다,3,-1.4763178,-2.1178794
5,향도 너무 좋고 지속력이 오래가유,1,18,향도 너무 좋고 지속력이 오래가유,향 좋다 지속 가유,3,1.6061478,2.3618727
4,개별포장 좋아요 개별포장이라 위생적으로 갖고 다니기 넘 좋아요. 단지 친환경소재인지 환경호르몬의 유무 여부가 안나와있어 걱정되기는 합니다.,1,77,개별포장 좋아요 개별포장이라 위생적으로 갖고 다니기 넘 좋아요 단지 친환경소재인지 환경호르몬의 유무 여부가 안나와있어 걱정되기는 합니다,개별 포장 좋다 개별 포장 위생 갖다 다니다 넘다 좋다 단지 친환경 소재 환경호르몬 유무 여부 나오다 걱정 되다 기다 하다,3,-0.39723787,-2.144155
4,가격이 좋고 괜찮습니다,1,12,가격이 좋고 괜찮습니다,가격 좋다 괜찮다,3,1.3187493,2.9282691
2,본드자국 다 붙어있고 저가격도 아까울정도입니다.,0,26,본드자국 다 붙어있고 저가격도 아까울정도입니다,본드 자국 붙다 가격 아깝다 정도 이다,3,0.20249587,-1.7325629
5,인식 아주 잘 됩니다,1,11,인식 아주 잘 됩니다,인식 아주 자다 되다,3,0.55876017,0.8233921
5,재구매 신랑이 만족하네요~~~,1,16,재구매 신랑이 만족하네요,재다 신랑 만족하다,3,-1.3163621,1.611096
1,남친 사줬는데 살에 직접 뿌리면 아프다고 하네요. 냄새도 너무 안좋아요. 효과도 거의 없구요.,0,52,남친 사줬는데 살에 직접 뿌리면 아프다고 하네요 냄새도 너무 안좋아요 효과도 거의 없구요,남친 사주다 살 직접 뿌리 아프다 하다 냄새 안좋다 효과 거의 없다,3,3.0170498,-0.62256724
2,긴 생머리에는 괜찬은지 몰라도 층이 잇다거나 펌엔 맞 지 않은듯..,0,37,긴 생머리에는 괜찬은지 몰라도 층이 잇다거나 펌엔 맞 지 않은듯,기다 생머리 괜찬은 모르다 층 잇다 펌 맞다 지다 않다,3,2.1988182,-1.2874024
2,사진보다 흐리고 촌스럽습니다 교환했습니다,0,22,사진보다 흐리고 촌스럽습니다 교환했습니다,사진 흐리다 촌스럽다 교환 하다,0,-0.18266898,-0.5015747
