,label
120361,1
44723,1
180541,0
195331,1
57487,0
131472,0
144067,1
76639,0
177583,0
158697,1
143966,1
68260,0
65594,0
66692,0
60275,0
93164,0
102375,1
167831,0
36735,0
59552,0
23407,1
121931,1
127808,0
111426,1
16088,1
195308,0
58288,0
196616,1
20649,0
16771,1
109076,1
89777,1
158417,0
12960,1
180594,1
80149,1
99097,0
28889,0
32944,1
107649,1
155029,1
166447,1
103373,0
45880,0
145167,1
151016,1
79598,0
161699,1
77061,1
10367,0
79253,1
148153,0
99799,1
193459,1
139002,1
2877,1
19140,0
193258,0
186299,1
48950,1
13957,1
156437,0
127153,0
49664,1
60532,1
71511,1
10060,1
135783,0
197288,1
93403,1
4472,1
92894,1
137196,0
197818,0
150228,1
61750,1
57037,0
167112,1
111108,0
108752,1
49444,0
187350,1
73397,0
10397,1
178976,1
26757,0
178089,1
134994,0
98563,1
131133,1
12907,0
8726,0
134955,0
67804,0
190354,1
63303,1
168703,1
122201,0
117139,0
133462,1
98451,1
157294,0
87298,0
126514,1
43968,0
196887,1
87492,0
29890,0
38090,1
83269,0
28656,1
93339,0
83426,0
114814,0
174816,0
160274,0
32423,0
107595,0
146576,1
174036,1
41486,1
31173,1
48570,0
79302,0
14172,1
56569,0
59067,0
85801,1
7970,1
119357,0
187937,1
141295,0
196505,0
59827,1
178719,0
103721,0
184379,1
34981,1
176946,0
22844,0
55956,1
66088,1
130769,1
156602,0
180152,0
4530,0
88985,0
137024,1
117662,1
96558,1
195041,1
170015,1
47778,0
184757,1
57570,0
91900,0
18983,0
145320,1
33558,0
153959,0
188671,0
84722,0
96257,0
171464,0
147212,0
178977,1
112294,1
84135,0
157288,1
65006,1
71292,0
156643,1
191122,1
10496,1
162092,1
95007,0
175963,1
123966,1
32849,0
49518,0
158454,1
99323,1
196376,0
135009,1
78417,0
107061,0
111857,1
172056,0
188231,0
68059,1
147901,0
166706,0
54342,1
133429,1
163577,1
136560,0
52336,0
104527,1
41882,0
138154,1
152105,0
20581,1
36789,0
164582,0
21443,1
187762,1
94413,0
25671,1
81633,1
118219,1
21704,0
149124,0
151895,0
162123,1
2154,0
138657,0
141335,0
101713,1
100746,0
67167,0
736,0
174596,0
50373,0
5658,1
179260,0
67604,0
10821,0
55630,0
116076,0
141765,1
63719,0
146210,0
78736,0
198728,0
166581,0
74434,1
51276,1
73273,0
72603,1
95027,1
115207,0
94005,1
62082,1
114488,1
35288,1
70238,0
187830,1
76737,0
94064,1
144503,0
45036,1
117924,0
54401,0
131799,0
56671,1
29906,1
111401,1
698,0
8113,1
100561,1
149459,0
58477,0
76199,1
190629,1
87349,1
178579,0
74014,1
150231,1
63310,0
174199,0
9021,1
181025,0
16794,1
92622,0
44460,1
182656,0
25971,0
111107,0
147985,1
154306,0
10338,1
85131,0
90128,1
93139,1
117396,0
181803,1
44823,0
156936,1
18395,0
110250,1
192460,0
107570,1
8298,0
119504,0
113539,1
165304,0
93804,0
170979,0
49996,1
120816,1
175421,0
18109,1
78561,0
160346,0
161945,1
103890,0
10905,1
31180,0
160509,1
23368,0
13469,1
30412,0
10801,1
56717,0
48555,0
160690,0
110003,1
179378,0
139321,0
64148,0
100779,1
173043,0
144273,0
50105,0
126939,0
40799,1
54284,1
45745,1
85482,1
20892,1
57609,0
115105,0
159421,0
108522,1
149075,0
115530,1
75467,1
94941,0
142920,0
179113,0
47549,1
149032,1
27664,0
76408,0
129554,0
171199,1
55990,0
172632,0
146702,0
112459,1
183770,1
26727,0
131077,0
167017,0
167947,1
76820,1
20890,1
42622,1
107680,0
140261,1
144325,1
182539,1
180091,1
89046,1
11012,0
136181,1
8896,1
55465,1
84621,0
124312,1
164071,0
22095,0
183160,0
64041,1
90939,0
42888,0
134951,0
122151,1
5530,0
57767,0
109813,0
30140,1
32535,0
74312,1
64503,0
25080,0
150665,1
142437,1
134383,1
182944,1
74359,0
179963,1
13869,1
84782,1
77129,0
101019,1
120946,1
41304,0
189910,0
12075,0
